cn_id,split,hateSpeech,counterSpeech,cs_keywords_score,cs_keywords_frequency,sorted_cs_keywords,hs_keywords,hs_keywords_score,hs_keywords_frequency,sorted_hs_keywords,sorted_generated_cn_keywords,generated_cn_keywords
ENT1ST0001HS0054CN000058,train,Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,"The only cover up that happens in the media is of the positive stories about Muslims, extremist actions are the only ones ever highlighted.","142.857, 95.238, 95.238, 95.238, 95.238, 47.619","1, 1, 1, 1, 1, 1","stories about muslims', 'positive stories', 'extremist actions', 'only cover', 'only ones', 'media'","savage shouting, allahu akbar, shocking, throats, men, story, paris, cover, bbc","144.828, 68.96600000000001, 34.483000000000004, 34.483000000000004, 34.483000000000004, 34.483000000000004, 34.483000000000004, 34.483000000000004, 34.483000000000004","1, 1, 1, 1, 1, 1, 1, 1, 1","savage shouting, allahu akbar, shocking, throats, story, cover, paris, bbc, men",,
ENT1ST0001HS0054CN000060,train,Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,The BBC also neglects to report on many violent or terrorist far-right extremist and Islamophobic crimes. What is your point?,"166.667, 111.111, 55.556000000000004, 55.556000000000004, 55.556000000000004","1, 1, 1, 1, 1","terrorist far-right extremist', 'islamophobic crimes', 'bbc', 'violent', 'point'","savage shouting, allahu akbar, shocking, throats, men, story, paris, cover, bbc","144.828, 68.96600000000001, 34.483000000000004, 34.483000000000004, 34.483000000000004, 34.483000000000004, 34.483000000000004, 34.483000000000004, 34.483000000000004","1, 1, 1, 1, 1, 1, 1, 1, 1","savage shouting, allahu akbar, shocking, throats, story, cover, paris, bbc, men",,
ENT1ST0001HS0054CN000061,train,Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,"Mate, the media is constantly biased against Muslims and tries to make them out to be the enemy. What we hardly ever see is the many more positive stories.","129.032, 32.258, 32.258, 32.258","1, 1, 1, 1","many more positive stories', 'enemy', 'media', 'muslims'","savage shouting, allahu akbar, shocking, throats, men, story, paris, cover, bbc","144.828, 68.96600000000001, 34.483000000000004, 34.483000000000004, 34.483000000000004, 34.483000000000004, 34.483000000000004, 34.483000000000004, 34.483000000000004","1, 1, 1, 1, 1, 1, 1, 1, 1","savage shouting, allahu akbar, shocking, throats, story, cover, paris, bbc, men",,
ENT1ST0001HS0074CN000062,train,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",I thought we'd stopped exporting our convicted criminals last century. Now you advocate exporting people wihtout a trial or a conviction.,"87.5, 83.333, 83.333, 41.667, 41.667, 41.667","1, 2, 1, 1, 1, 1","last century', 'conviction', 'exporting', 'trial', 'criminals', 'people'","government, violent muslims, few people, yesterday violations, common people, care, criminals","65.625, 62.5, 62.5, 62.5, 62.5, 31.25, 31.25","1, 1, 1, 1, 1, 1, 1","few people, yesterday violations, common people, care, violent muslims, criminals, government",,
ENT1ST0001HS0074CN000063,train,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",I think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them?,"107.14299999999999, 75.0, 71.429, 35.714, 35.714","1, 1, 1, 1, 1","type of decisions', 'good understanding', 'public', 'members', 'government'","government, violent muslims, few people, yesterday violations, common people, care, criminals","65.625, 62.5, 62.5, 62.5, 62.5, 31.25, 31.25","1, 1, 1, 1, 1, 1, 1","few people, yesterday violations, common people, care, violent muslims, criminals, government",,
ENT1ST0001HS0074CN000064,train,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",If they were violent they would have been punished too. Why do you think someone of a certain religion is automatically guilty?,"83.333, 41.667, 41.667","1, 1, 2001","certain religion', 'guilty', 'violent'","government, violent muslims, few people, yesterday violations, common people, care, criminals","65.625, 62.5, 62.5, 62.5, 62.5, 31.25, 31.25","1, 1, 1, 1, 1, 1, 1","few people, yesterday violations, common people, care, violent muslims, criminals, government",,
ENT1ST0001HS0074CN000065,train,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.","In fact, the government deports those criminals back to their countries.","150.0, 71.429, 71.429","1, 1, 2001","government', 'countries', 'criminals'","government, violent muslims, few people, yesterday violations, common people, care, criminals","65.625, 62.5, 62.5, 62.5, 62.5, 31.25, 31.25","1, 1, 1, 1, 1, 1, 1","few people, yesterday violations, common people, care, violent muslims, criminals, government",,
ENT1ST0001HS0074CN000066,train,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.","What happened to the good old British values of stuff like 'tolerance' and 'respect for the rule of law' - what you are suggesting sounds like mob rule, vigilante action and people running around with burning torches?","144.828, 137.931, 137.931, 103.448, 103.448, 72.414, 68.96600000000001, 68.96600000000001, 34.483000000000004","1, 1, 1, 1, 1, 1, 1, 1, 1","vigilante action', 'sounds like mob rule', 'good old british values', 'values of stuff', 'people running', 'burning torches', 'rule of law', 'suggesting', 'tolerance'","government, violent muslims, few people, yesterday violations, common people, care, criminals","65.625, 62.5, 62.5, 62.5, 62.5, 31.25, 31.25","1, 1, 1, 1, 1, 1, 1","few people, yesterday violations, common people, care, violent muslims, criminals, government",,
ENT1ST0001HS0074CN000067,train,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.","Are you suggesting to commit a crime? There are courts for punishment and if the crowd does the punishment itself, you will become criminals.","242.308, 80.76899999999999, 38.461999999999996, 38.461999999999996, 38.461999999999996, 38.461999999999996","1, 1, 1, 1, 1, 1","courts for punishment', 'crowd', 'punishment', 'crime', 'suggesting', 'criminals'","government, violent muslims, few people, yesterday violations, common people, care, criminals","65.625, 62.5, 62.5, 62.5, 62.5, 31.25, 31.25","1, 1, 1, 1, 1, 1, 1","few people, yesterday violations, common people, care, violent muslims, criminals, government",,
ENT1ST0001HS0074CN000068,train,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.","The ones who deserved to be punished, were punished. If others are innocent, clearly they do not deserve to be penalized?",38,1,innocent',"government, violent muslims, few people, yesterday violations, common people, care, criminals","65.625, 62.5, 62.5, 62.5, 62.5, 31.25, 31.25","1, 1, 1, 1, 1, 1, 1","few people, yesterday violations, common people, care, violent muslims, criminals, government",,
ENT1ST0001HS0074CN000069,train,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",Who are 'all them violent muslims'? Are you sure you are proficient to judge who's guilty and who's not?,"83.333, 41.667, 41.667","1, 1, 2001","violent muslims', 'proficient', 'guilty'","government, violent muslims, few people, yesterday violations, common people, care, criminals","65.625, 62.5, 62.5, 62.5, 62.5, 31.25, 31.25","1, 1, 1, 1, 1, 1, 1","few people, yesterday violations, common people, care, violent muslims, criminals, government",,
ENT1ST0001HS0074CN000070,train,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",An entire faith? Really? Can you not see how ignorant this is?,"133.333, 66.667","1, 1","ignorant', 'entire faith'","government, violent muslims, few people, yesterday violations, common people, care, criminals","65.625, 62.5, 62.5, 62.5, 62.5, 31.25, 31.25","1, 1, 1, 1, 1, 1, 1","few people, yesterday violations, common people, care, violent muslims, criminals, government",,
ENT1ST0001HS0092CN000001,train,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",Are you blaming all community for the action of a few? Doesn't seem very fair does it?,"100.0, 47.619, 47.619","1, 1, 2001","fair', 'blaming', 'community'","bunch of violent criminals, fuck isis, fuck islam, safer place, muslims, britain","117.647, 58.824, 58.824, 58.824, 29.412, 29.412","1, 1, 1, 1, 1, 1","bunch of violent criminals, fuck isis, fuck islam, safer place, britain, muslims",,
ENT1ST0001HS0092CN000002,train,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","Could you mind your language? You are insulting millions of people who are Muslims. Isis are war criminals, but why are you equaling them with all Muslims?","111.111, 77.778, 74.074, 74.074, 74.074, 37.037, 37.037","1, 1, 2, 1, 1, 1, 1","war criminals', 'insulting millions', 'equaling', 'language', 'millions of people', 'isis', 'muslims'","bunch of violent criminals, fuck isis, fuck islam, safer place, muslims, britain","117.647, 58.824, 58.824, 58.824, 29.412, 29.412","1, 1, 1, 1, 1, 1","bunch of violent criminals, fuck isis, fuck islam, safer place, britain, muslims",,
ENT1ST0001HS0092CN000003,train,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","The truth is the worldwide Muslims denounce ISIS and its violence. Plus, many Muslims are the victims of ISIS. According to <The Guardian>, 'Isis regularly publishes a hit-list of global Muslim leaders in its online magazine, which certainly helps to explain why Muslims from Syria and Iraq may want to migrate to countries like Australia.'.","57.692, 57.692, 57.692, 57.692, 40.385, 38.461999999999996, 38.461999999999996, 38.461999999999996, 38.461999999999996, 19.230999999999998, 19.230999999999998, 19.230999999999998, 19.230999999999998","1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1","countries like australia', 'global muslim leaders', 'muslims from syria', 'worldwide muslims', 'online magazine', 'hit-list', 'iraq', 'victims of isis', 'plus', 'truth', 'isis', 'many muslims', 'violence'","bunch of violent criminals, fuck isis, fuck islam, safer place, muslims, britain","117.647, 58.824, 58.824, 58.824, 29.412, 29.412","1, 1, 1, 1, 1, 1","bunch of violent criminals, fuck isis, fuck islam, safer place, britain, muslims",,
ENT1ST0001HS0092CN000004,train,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",Positive news stories*.,1500,1,positive news stories',"bunch of violent criminals, fuck isis, fuck islam, safer place, muslims, britain","117.647, 58.824, 58.824, 58.824, 29.412, 29.412","1, 1, 1, 1, 1, 1","bunch of violent criminals, fuck isis, fuck islam, safer place, britain, muslims",,
ENT1ST0001HS0092CN000005,train,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","Surely it is our 'actions' that make us criminals, not whichever faith we folow, whether than be by choice or tradition or culture?","72.414, 34.483000000000004, 34.483000000000004, 34.483000000000004, 34.483000000000004, 34.483000000000004","1, 1, 1, 1, 1, 1","tradition', 'choice', 'actions', 'culture', 'criminals', 'faith'","bunch of violent criminals, fuck isis, fuck islam, safer place, muslims, britain","117.647, 58.824, 58.824, 58.824, 29.412, 29.412","1, 1, 1, 1, 1, 1","bunch of violent criminals, fuck isis, fuck islam, safer place, britain, muslims",,
ENT1ST0001HS0092CN000006,train,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",This is not true. How can you say this about an entire faith?,133,1,entire faith',"bunch of violent criminals, fuck isis, fuck islam, safer place, muslims, britain","117.647, 58.824, 58.824, 58.824, 29.412, 29.412","1, 1, 1, 1, 1, 1","bunch of violent criminals, fuck isis, fuck islam, safer place, britain, muslims",,
ENT1ST0001HS0092CN000007,train,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",Muslims are also average and decent British citizens? Repatriate?,"333.333, 111.111","1, 1","decent british citizens', 'muslims'","bunch of violent criminals, fuck isis, fuck islam, safer place, muslims, britain","117.647, 58.824, 58.824, 58.824, 29.412, 29.412","1, 1, 1, 1, 1, 1","bunch of violent criminals, fuck isis, fuck islam, safer place, britain, muslims",,
ENT1ST0001HS0092CN000008,train,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",Saying that all people of certain religion are violent criminals does not make sense at all.,"307.692, 153.846, 76.923","1, 1, 2001","people of certain religion', 'violent criminals', 'sense'","bunch of violent criminals, fuck isis, fuck islam, safer place, muslims, britain","117.647, 58.824, 58.824, 58.824, 29.412, 29.412","1, 1, 1, 1, 1, 1","bunch of violent criminals, fuck isis, fuck islam, safer place, britain, muslims",,
ENT1ST0001HS0092CN000009,train,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","Can I suggest that the deportation of up to 3 million people, a large proportion of whom were born in the UK does not reflect 'our values' in the way I understand them.","113.514, 56.757, 27.026999999999997, 27.026999999999997","1, 1, 1, 1","large proportion', 'deportation', 'uk', 'people'","bunch of violent criminals, fuck isis, fuck islam, safer place, muslims, britain","117.647, 58.824, 58.824, 58.824, 29.412, 29.412","1, 1, 1, 1, 1, 1","bunch of violent criminals, fuck isis, fuck islam, safer place, britain, muslims",,
ENT1ST0001HS0092CN000010,train,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","Isis is an extrem of Islam and does not represent Muslims' belief and action. Indeed, most of Islam condemned the action of ISIS.","252.0, 120.0, 40.0, 40.0, 40.0, 40.0","1, 1, 1, 1, 1, 1","action of isis', 'extrem of islam', 'belief', 'isis', 'islam', 'muslims'","bunch of violent criminals, fuck isis, fuck islam, safer place, muslims, britain","117.647, 58.824, 58.824, 58.824, 29.412, 29.412","1, 1, 1, 1, 1, 1","bunch of violent criminals, fuck isis, fuck islam, safer place, britain, muslims",,
ENT1ST0001HS0092CN000011,train,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",Saying that all Muslims are criminals is just wrong. They also do share British values.,"117.647, 58.824, 58.824, 58.824, 58.824","1, 1, 1, 1, 1","share', 'british values', 'criminals', 'wrong', 'muslims'","bunch of violent criminals, fuck isis, fuck islam, safer place, muslims, britain","117.647, 58.824, 58.824, 58.824, 29.412, 29.412","1, 1, 1, 1, 1, 1","bunch of violent criminals, fuck isis, fuck islam, safer place, britain, muslims",,
ENT1ST0001HS0092CN000012,train,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","I agree that ISIS is an evil aberration, but to extend this to include up to 3 million people just in the UK is just plain silly.","161.53799999999998, 76.923, 38.461999999999996, 38.461999999999996, 38.461999999999996","1, 1, 1, 1, 1","evil aberration', 'plain silly', 'isis', 'uk', 'people'","bunch of violent criminals, fuck isis, fuck islam, safer place, muslims, britain","117.647, 58.824, 58.824, 58.824, 29.412, 29.412","1, 1, 1, 1, 1, 1","bunch of violent criminals, fuck isis, fuck islam, safer place, britain, muslims",,
ENT1ST0001HS0092CN000013,train,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","Actually, the principle of Muslims is to love and respect everyone. This is the same as our values. If you talk to a Muslim, you will find out that they are kind and friendly people too.","78.947, 52.632, 26.316","1, 1, 2001","principle of muslims', 'friendly people', 'muslim'","bunch of violent criminals, fuck isis, fuck islam, safer place, muslims, britain","117.647, 58.824, 58.824, 58.824, 29.412, 29.412","1, 1, 1, 1, 1, 1","bunch of violent criminals, fuck isis, fuck islam, safer place, britain, muslims",,
ENT1ST0001HS0107CN000025,train,Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,"This is just false news! Islam, Christianity and Judaism have the same beginnings and the Koran give special respect to the other two.","87.5, 87.5, 83.333, 83.333, 83.333, 41.667, 41.667","1, 1, 1, 1, 1, 1, 1","special respect', 'same beginnings', 'false news', 'judaism', 'koran', 'christianity', 'islam'","caption saying, insult islam, features protesters, islamophobic, signs","131.25, 62.5, 62.5, 31.25, 31.25","1, 1, 1, 1, 1","caption saying, insult islam, features protesters, islamophobic, signs",,
ENT1ST0001HS0107CN000026,train,Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,"Whilst a small number of Muslims were involved in this, the vast majority stand against extremism (link to article about the Muslim anti-extremism march in Cologne)","315.0, 315.0, 150.0, 150.0, 105.0, 100.0, 50.0, 50.0","1, 1, 1, 1, 1, 1, 1, 1","vast majority stand', 'muslim anti-extremism march', 'march in cologne', 'small number', 'article', 'extremism', 'number of muslims', 'link'","caption saying, insult islam, features protesters, islamophobic, signs","131.25, 62.5, 62.5, 31.25, 31.25","1, 1, 1, 1, 1","caption saying, insult islam, features protesters, islamophobic, signs",,
ENT1ST0001HS0107CN000027,train,Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,[find positive and up to date example of Muslim people contributing to their community.] Doesn't really look like it to me.,"142.857, 100.0, 95.238","1, 1, 2001","muslim people contributing', 'date example', 'community'","caption saying, insult islam, features protesters, islamophobic, signs","131.25, 62.5, 62.5, 31.25, 31.25","1, 1, 1, 1, 1","caption saying, insult islam, features protesters, islamophobic, signs",,
ENT1ST0001HS0107CN000028,train,Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,Kkk anyone? Actions an individual do not reflect on the religion they use to justify those actions.,"105.26299999999999, 105.26299999999999, 52.632","2, 1, 2001","kkk anyone', 'actions', 'religion'","caption saying, insult islam, features protesters, islamophobic, signs","131.25, 62.5, 62.5, 31.25, 31.25","1, 1, 1, 1, 1","caption saying, insult islam, features protesters, islamophobic, signs",,
ENT1ST0001HS0107CN000029,train,Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,"Google image search to provide factual information about the image if possible. Ie when and where it is from and provide context, ie this was a small faction that has been condemned my main stream Islam and happened 15 years ago.","180.0, 120.0, 120.0, 85.714, 28.570999999999998, 28.570999999999998, 28.570999999999998","1, 1, 1, 1, 1, 1, 1","google image search', 'factual information', 'small faction', 'main stream islam', 'ie', 'context', 'years'","caption saying, insult islam, features protesters, islamophobic, signs","131.25, 62.5, 62.5, 31.25, 31.25","1, 1, 1, 1, 1","caption saying, insult islam, features protesters, islamophobic, signs",,
ENT1ST0001HS0107CN000030,train,Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,Source check?,667,1,source check',"caption saying, insult islam, features protesters, islamophobic, signs","131.25, 62.5, 62.5, 31.25, 31.25","1, 1, 1, 1, 1","caption saying, insult islam, features protesters, islamophobic, signs",,
ENT1ST0001HS0107CN000031,train,Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,There are a hundred similar images of Christian including those in the KKK standing next to their victims who used the Bible as a justification. Of course none of us believe they represent all Christians.,"88.235, 61.765, 58.824, 58.824, 58.824, 58.824, 29.412, 29.412, 29.412","1, 1, 1, 1, 1, 1, 1, 1, 1","images of christian', 'christian including', 'course none', 'similar images', 'kkk standing', 'justification', 'victims', 'bible', 'christians'","caption saying, insult islam, features protesters, islamophobic, signs","131.25, 62.5, 62.5, 31.25, 31.25","1, 1, 1, 1, 1","caption saying, insult islam, features protesters, islamophobic, signs",,
ENT1ST0001HS0107CN000032,train,Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,"[quote from Quran about peace and love.] When the Quran says nothing about harming people who do not believe in Islam, how is this a reflection on all Muslims.?","88.235, 61.765, 29.412, 29.412, 29.412, 29.412, 29.412, 29.412","1, 1, 1, 1, 1, 1, 1, 1","harming', 'reflection', 'quran about peace', 'love', 'quran', 'people', 'islam', 'muslims'","caption saying, insult islam, features protesters, islamophobic, signs","131.25, 62.5, 62.5, 31.25, 31.25","1, 1, 1, 1, 1","caption saying, insult islam, features protesters, islamophobic, signs",,
ENT1ST0001HS0107CN000033,train,Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,"And Trump supporters sent pipe bombs to his opposition, including Robert De Niro, those individuals do not represent all of Trump's supporters though.","150.0, 150.0, 105.0, 100.0, 100.0, 50.0","1, 1, 1, 1, 1, 1","""trump s supporters""', 'opposition', 'trump supporters', 'robert de niro', 'pipe bombs', 'individuals'","caption saying, insult islam, features protesters, islamophobic, signs","131.25, 62.5, 62.5, 31.25, 31.25","1, 1, 1, 1, 1","caption saying, insult islam, features protesters, islamophobic, signs",,
