hate_speech,knowledge_sentence,counter_narrative
shocking . 2 men are murdered in paris by having their throats cut by some savage shouting 'allahu akbar' and the bbc ignore the story . another cover up .,"other witnesses said the men shouted ""allahu akbar , "" arabic for "" a man shouting "" allahu akbar "" gunmen were heard shouting 'allahu akbar' black-clad gunmen shouting ""allahu akbar ! "" the three gunmen who shouted "" allahu akbar ! ""","the only cover up that happens in the media is of the positive stories about muslims , extremist actions are the only ones ever highlighted ."
shocking . 2 men are murdered in paris by having their throats cut by some savage shouting 'allahu akbar' and the bbc ignore the story . another cover up .,"other witnesses said the men shouted ""allahu akbar , "" arabic for "" one of the men shouted allahu akbar , or god is great , memo to the bbc: the killers were shouting ""allahu akbar"" as they struck . black-clad gunmen shouting ""allahu akbar ! "" shouting allahu akbar , or god is great .",the bbc also neglects to report on many violent or terrorist far-right extremist and islamophobic crimes . what is your point ?
shocking . 2 men are murdered in paris by having their throats cut by some savage shouting 'allahu akbar' and the bbc ignore the story . another cover up .,"other witnesses said the men shouted ""allahu akbar , "" arabic for "" one of the men shouted allahu akbar , or god is great , a man shouting "" allahu akbar "" memo to the bbc: the killers were shouting ""allahu akbar"" as they struck . gunmen were heard shouting 'allahu akbar'","mate , the media is constantly biased against muslims and tries to make them out to be the enemy . what we hardly ever see is the many more positive stories ."
"only a few people were punished for yesterday violations instead of all them violent muslims , and if the government does not deport these criminals , then the common people will take care of them .","""people say i'll coddle these criminals . jordan , king abdullah iia on saturdaya ordered the release of 245 common law criminals on the occasion of the religious feast , saida the government spokesperson . the last nazi he had a hand in bringing to trial r v summers ( pre-trial credit ) 11 photos: nazi war criminals: a few hundred people tried to save a man on sunday .",i thought we'd stopped exporting our convicted criminals last century . now you advocate exporting people wihtout a trial or a conviction .
"only a few people were punished for yesterday violations instead of all them violent muslims , and if the government does not deport these criminals , then the common people will take care of them .","the current house health care legislation states that members of congress ""may enroll"" in the public plan . ""if this government-run plan is so good , why don't members of congress take the plan ? "" in an unusual harsh criticism of a judicial ruling , which accused the government of abusing its powers , mr . blair condemned the decision as ""an abuse of common sense . "" the government has also deployed new rapid-reaction battalions of soldiers and police for raids against gang members . despite the freedom of the press from censorship by the government , the judiciary held a different view ; it regularly tried people for seditious libel if they printed material attacking the government .",i think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them ?
"only a few people were punished for yesterday violations instead of all them violent muslims , and if the government does not deport these criminals , then the common people will take care of them .",""" the police don't even care that people are watching . "" people are not talking to see people finally come around again harper vowed monday that a re-elected conservative government would reduce protections under the youth criminal justice act for young people convicted of serious crimes . the criminals don't work for the people; the police officers do . i say we must protect the law-abiding people and not the criminals .",if they were violent they would have been punished too . why do you think someone of a certain religion is automatically guilty ?
"only a few people were punished for yesterday violations instead of all them violent muslims , and if the government does not deport these criminals , then the common people will take care of them .","3 million criminal immigrants trump's estimate of criminals who are in the country illegally is probably much too high . the pm last month admitted it was "" fantastically difficult "" to deport criminals from eu countries and said the government "" should have done better "" . but the government didn't break down how many of those people were in the country legally and how many were here illegally . ""what we are going to do is get the people that are criminal and have criminal records , gang members , drug dealers , "" he said . either criminals and non-criminals will have them or neither will .","in fact , the government deports those criminals back to their countries ."
"only a few people were punished for yesterday violations instead of all them violent muslims , and if the government does not deport these criminals , then the common people will take care of them .","yet british values as defined by our home secretary theresa may - such as democracy and the rule of law , tolerance and acceptance of different faiths - are inherently muslim values too . "" the rule of law is the rule of law . the rule of law , f**k will of the people . underground groups and gangsters running your society , your health-care , according to the whims of a few mafia-bosses rather than by a people's elected government ? all of which leaves conservatives and republicans who care about the rule of law with a choice .","what happened to the good old british values of stuff like 'tolerance' and 'respect for the rule of law' - what you are suggesting sounds like mob rule , vigilante action and people running around with burning torches ?"
"only a few people were punished for yesterday violations instead of all them violent muslims , and if the government does not deport these criminals , then the common people will take care of them .","therefore , they will never be punished for those crimes . justice minister peter mackay fired back with a terse statement that affirmed the government's long-held belief that violent criminals should face hard time for their crimes . the fact is , in this society , nobody takes responsibility for punishing criminals . i say that criminals must be made to pay for their crimes . "" as to mr . duterte's focus on crime , of course criminals deserve punishment .","are you suggesting to commit a crime ? there are courts for punishment and if the crowd does the punishment itself , you will become criminals ."
"only a few people were punished for yesterday violations instead of all them violent muslims , and if the government does not deport these criminals , then the common people will take care of them .","underground groups and gangsters running your society , your health-care , according to the whims of a few mafia-bosses rather than by a people's elected government ? no more death of innocent people , "" said one . well , according to gallup , very few people care what republicans think and that number grows ever smaller every year ( 2000-2009 ) ""as long as they got paid , they did not care if innocent people would be killed in a potential terrorist attack . the government plans to begin collecting dna samples from anyone arrested by a federal law enforcement agency — a move intended to prevent violent crime but which also is raising concerns about the privacy of innocent people .","the ones who deserved to be punished , were punished . if others are innocent , clearly they do not deserve to be penalized ?"
"only a few people were punished for yesterday violations instead of all them violent muslims , and if the government does not deport these criminals , then the common people will take care of them .","india could attack muslim pakistan and unleash the same long-lasting hatred from a few radical , violent muslims that america unwittingly unleashed on itself . criminals with technical savvy ""are sophisticated and proficient in locating people through internet websites , "" the message said . india could opt for the bush approach and react violently to the shocking attack on its soil , predictably provoking an ever-more-violent muslim-hindu feud . it's peaceful , non-violent muslims that they want to instill fear in . even more than predatory criminals , though , the founders feared oppression by unchecked government .",who are 'all them violent muslims' ? are you sure you are proficient to judge who's guilty and who's not ?
"only a few people were punished for yesterday violations instead of all them violent muslims , and if the government does not deport these criminals , then the common people will take care of them .","few people in the kingdom keep pets . as this relates to voting , if people don't know much about current government and politics , they too are ignorant , not necessarily stupid . widespread political ignorance isn't limited to spending and health care . grand rapids , michigan ( cnn ) - should ignorant people be allowed to vote ? "" i contradict myself all the time , but few people notice , "" x says .",an entire faith ? really ? can you not see how ignorant this is ?
"fuck islam and fuck isis . we should repatriate all muslims . they are all a bunch of violent criminals who do not share our values and never will . without them britain will be a better , safer place .","ajmal masroor , from the islamic society of britain , said: ""muslim communities are very loyal to this country . islam , to propagate the idea of a separate muslim state . "" one of our primary concerns is: why the muslim community again ? "" what happens inside our muslim communities matters to all of us . the head of the muslim council of britain welcomed the findings .",are you blaming all community for the action of a few ? doesn't seem very fair does it ?
"fuck islam and fuck isis . we should repatriate all muslims . they are all a bunch of violent criminals who do not share our values and never will . without them britain will be a better , safer place .","isis speaks openly about its desire to push apart muslims and non-muslims , calling in its magazine dabiq for the "" the extinction of the gray zone "" where people of different faiths exist in trust and peace . i worry about her growing up in a place where some of the people who are seeking the highest office in the land cannot make a simple distinction between islam and isis , between muslim and terrorist . and hovering above all the reassurances that the vast majority of muslims reject religious extremism is the question of why so many violent religious extremists today are muslims . but the muslim council of britain , a prominent body representing the country's muslim community , said it did not recognize the image of muslim attitudes presented by the poll . ""the whole program of isis is to turn muslims against the west and the west against muslims , "" said joseph lumbard , one of the five scholars behind ""the study quran .","could you mind your language ? you are insulting millions of people who are muslims . isis are war criminals , but why are you equaling them with all muslims ?"
"fuck islam and fuck isis . we should repatriate all muslims . they are all a bunch of violent criminals who do not share our values and never will . without them britain will be a better , safer place .","- in a bold declaration of its ambition , the islamic state in iraq and syria has laid claim to leadership of the global islamist movement , calling on muslims worldwide to swear allegiance to its leader , abu bakr al-baghdadi . he also wants to see a united muslim stand against isis , and is calling for muslim leaders around the world to isolate and condemn isis militants from the muslim community . the truth is many muslim nations have not confronted islamic terrorism have not attacked violence in the name of allah , and have not even condemned the jihad . sotloff was the second u . s . national to be paraded before his death by a masked member of the islamic state of iraq and greater syria ( isis ) . is from the terrorist organization's leader saturday , asking muslims to join him in iraq and syria .","the truth is the worldwide muslims denounce isis and its violence . plus , many muslims are the victims of isis . according to <the guardian> , 'isis regularly publishes a hit-list of global muslim leaders in its online magazine , which certainly helps to explain why muslims from syria and iraq may want to migrate to countries like australia . ' ."
"fuck islam and fuck isis . we should repatriate all muslims . they are all a bunch of violent criminals who do not share our values and never will . without them britain will be a better , safer place .","ajmal masroor , from the islamic society of britain , said: ""muslim communities are very loyal to this country . it is time for britain to integrate aspects of islamic law . approximately two million muslims , mostly of pakistani and bangladeshi origin , live in britain . we are proud to be british because muslims have contributed to the success of britain . "" the anti-muslim group britain first posted a video of their march through luton , england .",positive news stories* .
"fuck islam and fuck isis . we should repatriate all muslims . they are all a bunch of violent criminals who do not share our values and never will . without them britain will be a better , safer place .","their religious tradition , and that there is nothing inherently violent in the teachings of islam . ajmal masroor , from the islamic society of britain , said: ""muslim communities are very loyal to this country . ""american muslims view the actions of isis as un-islamic and morally repugnant , "" the council on american-islamic relations said in a statement earlier this month . representing some muslims' choices for peace and tolerance as simply one of the possible islamic alternatives is not helpful . julie siddiqi , executive director of the islamic society of britain; omar bakri , a radical muslim cleric barred from britain .","surely it is our 'actions' that make us criminals , not whichever faith we folow , whether than be by choice or tradition or culture ?"
"fuck islam and fuck isis . we should repatriate all muslims . they are all a bunch of violent criminals who do not share our values and never will . without them britain will be a better , safer place .","ajmal masroor , from the islamic society of britain , said: ""muslim communities are very loyal to this country . the head of the muslim council of britain welcomed the findings . it is time for britain to integrate aspects of islamic law . approximately two million muslims , mostly of pakistani and bangladeshi origin , live in britain . we are proud to be british because muslims have contributed to the success of britain . """,this is not true . how can you say this about an entire faith ?
"fuck islam and fuck isis . we should repatriate all muslims . they are all a bunch of violent criminals who do not share our values and never will . without them britain will be a better , safer place .","we are proud to be british because muslims have contributed to the success of britain . "" ajmal masroor , from the islamic society of britain , said: ""muslim communities are very loyal to this country . it is time for britain to integrate aspects of islamic law . muhammad abdul bari , general secretary of the muslim council of britain , said british muslims would withdraw their support for the police if the proposed profiling measure was put into practice . he said: ""a large proportion of muslims in britain have been born here , so they are definitely proud to be british .",muslims are also average and decent british citizens ? repatriate ?
"fuck islam and fuck isis . we should repatriate all muslims . they are all a bunch of violent criminals who do not share our values and never will . without them britain will be a better , safer place .","in europe we need to perhaps look at why there is a sense of alienations amongst certain segments of the muslim community . omer el-hamdoon , president of the muslim association of britain , also backed the survey's findings . yet when muslims are the victims of such crimes , the same sense of outrage is not visible . ajmal masroor , from the islamic society of britain , said: ""muslim communities are very loyal to this country . in what goes on inside the heads of violent criminals has been sharpened by the trial of anders behring breivik , the norwegian who massacred 77 people last july .",saying that all people of certain religion are violent criminals does not make sense at all .
"fuck islam and fuck isis . we should repatriate all muslims . they are all a bunch of violent criminals who do not share our values and never will . without them britain will be a better , safer place .","he said: ""a large proportion of muslims in britain have been born here , so they are definitely proud to be british . ajmal masroor , from the islamic society of britain , said: ""muslim communities are very loyal to this country . muslims in britain and around the world have condemned these people , and the arguments they use have been refuted comprehensively as being far from the religion of islam . in the wake of the deadly bomb attacks on london in july , britain said it would deport a number of muslims no other country ties its hands in deporting foreign criminals as britain does .","can i suggest that the deportation of up to 3 million people , a large proportion of whom were born in the uk does not reflect 'our values' in the way i understand them ."
"fuck islam and fuck isis . we should repatriate all muslims . they are all a bunch of violent criminals who do not share our values and never will . without them britain will be a better , safer place .","says he wants to draw attention to the actions of isis — a group of militants fighting for an islamic state in the middle east whose violent activities show they are not muslims . despite most country's disapproval of violence in the name of islam , religious extremism - and in particular muslim extremism - is a concern for a majority of muslims in the world , according to the survey . ""american muslims view the actions of isis as un-islamic and morally repugnant , "" the council on american-islamic relations said in a statement earlier this month . islamic extremism widely rejected , but still a concern carrying out violent acts in the name of islam is strongly rejected by muslims around the world , according to the survey . by contrast , an average of 95 % of muslims outside the united states said "" most or all of their friends are muslims . ""","isis is an extrem of islam and does not represent muslims' belief and action . indeed , most of islam condemned the action of isis ."
"fuck islam and fuck isis . we should repatriate all muslims . they are all a bunch of violent criminals who do not share our values and never will . without them britain will be a better , safer place .","in 2001 , just 33 per cent of british muslims lived in britain's poorest places . we are proud to be british because muslims have contributed to the success of britain . "" ajmal masroor , from the islamic society of britain , said: ""muslim communities are very loyal to this country . islamic centers have become a focus of non-muslim fears . britain has values that are completely compatible with islamic values . """,saying that all muslims are criminals is just wrong . they also do share british values .
"fuck islam and fuck isis . we should repatriate all muslims . they are all a bunch of violent criminals who do not share our values and never will . without them britain will be a better , safer place .","ajmal masroor , from the islamic society of britain , said: ""muslim communities are very loyal to this country . muslims in britain and around the world have condemned these people , and the arguments they use have been refuted comprehensively as being far from the religion of islam . melbourne school of theology lecturer bernie power told protesters radical islam must be challenged and moderate muslims need to disown isis . any depiction of islam's prophet is considered blasphemy by many muslims . harun khan , deputy secretary general of the muslim council of britain - the largest islamic organisation in the uk , representing more than 500 organisations - said: ""yesterday was a huge day of significance because it was the day when people will seek forgiveness and salvation .","i agree that isis is an evil aberration , but to extend this to include up to 3 million people just in the uk is just plain silly ."
"fuck islam and fuck isis . we should repatriate all muslims . they are all a bunch of violent criminals who do not share our values and never will . without them britain will be a better , safer place .","but the muslim council of britain , a prominent body representing the country's muslim community , said it did not recognize the image of muslim attitudes presented by the poll . asian'ali desai , a british muslim chief superintendent many of britain's 1 . 7 million muslims have accused the police of unfairly targeting their community since four british muslims blew themselves up and killed 52 other people in july 2005 . however , anas al-tikriti , of the muslim association of britain , said it is far from certain that the party will capture the muslim vote . omer el-hamdoon , president of the muslim association of britain , also backed the survey's findings . why , asked nuzhat ali , the women's coordinator of the islamic society of britain in bradford , should muslim children be singled out for civics lessons ?","actually , the principle of muslims is to love and respect everyone . this is the same as our values . if you talk to a muslim , you will find out that they are kind and friendly people too ."
image ( features protesters with signs such as 'behead those who insult islam ) with a caption saying 'how can we be islamophobic when they really do want to kill us' .,"that includes christianity , judaism , and islam . islam has a very different interpretation and it can't be lumped in the same category as judaism and christianity . its an act of anti-faith , and is heretical to christianity , judaism , & islam too . both islam and judaism ( ""the conversion to islam is not abandoning christianity or judaism , which i was born with .","this is just false news ! islam , christianity and judaism have the same beginnings and the koran give special respect to the other two ."
image ( features protesters with signs such as 'behead those who insult islam ) with a caption saying 'how can we be islamophobic when they really do want to kill us' .,"six muslim schools in tower hamlets have been failed and a majority-muslim state secondary school with good results has been put in special measures because of risks of "" extremism "" . the problem of islamic extremism is caused - astonishingly enough - by islamic extremism . in germany , anti-muslim radicals may pose similar threat as islamic militants mainstream muslims protest that terrorists like mohammed atta or khalid sheikh mohammed , who claim to kill in the name of islam , should not be viewed as true muslims because islam is a religion of peace . below is a link showing various different acts of religious extremism so far in 2012:","whilst a small number of muslims were involved in this , the vast majority stand against extremism ( link to article about the muslim anti-extremism march in cologne )"
image ( features protesters with signs such as 'behead those who insult islam ) with a caption saying 'how can we be islamophobic when they really do want to kill us' .,"islam is the new communism . an editorial that features in the issue thanks the international community for supporting the publication , but criticizes those who say the magazine publishes islamophobic content , according to fergal keane of bbc . black women are among the muslims targeted by islamophobic violence . robinson said he ""did not mean to insult islam"" when he defended mcconnell's comments and stated that he himself would not trust any muslim who adhered to sharia law . "" even the nicest people , who you wouldn't expect to be mean , say stuff , "" muhammad says .",[find positive and up to date example of muslim people contributing to their community . ] doesn't really look like it to me .
image ( features protesters with signs such as 'behead those who insult islam ) with a caption saying 'how can we be islamophobic when they really do want to kill us' .,"they're upset because he insulted islam . say anything otherwise and that would simply be islamophobic . ""islam is a religion that is totally incompatible with western free society . "" islam , said maher on his hbo show , "" is the only religion that acts like the mafia "" — killing heretics who say the wrong things or leave the faith . their lives protesting the islamist state in the summer of 2009 must be islamophobic , too .",kkk anyone ? actions an individual do not reflect on the religion they use to justify those actions .
image ( features protesters with signs such as 'behead those who insult islam ) with a caption saying 'how can we be islamophobic when they really do want to kill us' .,"related: 'three black teenagers': anger as google image search shows police mugshots the press is sick of browsing google image search , desperately seeking good art . what's a bit spooky , ferrell says , is ""that it doesn't appear from a google image search that a similar image has ever been captured before . . . . a google image search for ""completely wrong"" produces almost a full page of mitt romney photos . with the exception of that small faction , i have earnestly tried to understand those who cry islamophobe at every turn .","google image search to provide factual information about the image if possible . ie when and where it is from and provide context , ie this was a small faction that has been condemned my main stream islam and happened 15 years ago ."
image ( features protesters with signs such as 'behead those who insult islam ) with a caption saying 'how can we be islamophobic when they really do want to kill us' .,"the cover , for example , features a crudely-drawn cartoon of the prophet saying "" show caption + hide caption - their lives protesting the islamist state in the summer of 2009 must be islamophobic , too . an editorial that features in the issue thanks the international community for supporting the publication , but criticizes those who say the magazine publishes islamophobic content , according to fergal keane of bbc .",source check ?
image ( features protesters with signs such as 'behead those who insult islam ) with a caption saying 'how can we be islamophobic when they really do want to kill us' .,"the curse of ham: race and slavery in early judaism , christianity and islam'' i say that because 83 % of the american people claim to be christians . and there's the matter of the double standard that is created when a sheikh who burned a bible — rather perplexingly , since muslims consider it a holy book — is free whereas christians who insult islam face immediate backlash . when public figures like these so completely diminish the christian faith , it is hardly surprising that grassroots believers often engage in similar distortions of the christian religion . some christians at anti-obama rallies have displayed signs that proclaim , "" since 1630: bible hugging !",there are a hundred similar images of christian including those in the kkk standing next to their victims who used the bible as a justification . of course none of us believe they represent all christians .
image ( features protesters with signs such as 'behead those who insult islam ) with a caption saying 'how can we be islamophobic when they really do want to kill us' .,"many muslims saw the cartoons as a sign of lack of education about islam in denmark and in the west . what's unfair about judging islam by what it says about itself ? gay muslims say the quran is not as prescriptive as many imams suggest . the general impression among muslims is that it is about islam as a whole . this , compounded with a sense that the cartoons insulted muhammad and islam , offended many muslims .","[quote from quran about peace and love . ] when the quran says nothing about harming people who do not believe in islam , how is this a reflection on all muslims . ?"
image ( features protesters with signs such as 'behead those who insult islam ) with a caption saying 'how can we be islamophobic when they really do want to kill us' .,robert de niro: robert de niro . robert de niro: stale nuts . robert de niro: fresh nuts . robert de niro: comfortable clothes .,"and trump supporters sent pipe bombs to his opposition , including robert de niro , those individuals do not represent all of trump's supporters though ."
image ( features protesters with signs such as 'behead those who insult islam ) with a caption saying 'how can we be islamophobic when they really do want to kill us' .,"there is no right to insult islam or muslims . "" obama is saying , ‘listen , muslims on friday , counter-terrorism authorities arrested the final suspect in the now , terrorism has come home to brussuels . the term "" islamic terror "" is wrong . muslims of the sub-continent need to mount a jihad against terror and for peace between india and pakistan .","on a brighter note , a counter-terrorism protest held by more than 10 , 000 muslims advocated peace and people held posters denouncing terror ."
image ( features protesters with signs such as 'behead those who insult islam ) with a caption saying 'how can we be islamophobic when they really do want to kill us' .,"women bear the brunt of islamophobic prejudice . an astonishing proof of all that's true in the book . "" it's pervasive prejudice and discrimination in all facets of our lives . all four mosques in the provincial capital have recently been the target of islamophobic attacks . the islamic society of joplinajstream",islamophobia and prejudice is making a judgement that may or may not be true of one person but then assuming it is true of all people like that .
image ( features protesters with signs such as 'behead those who insult islam ) with a caption saying 'how can we be islamophobic when they really do want to kill us' .,", this is why when you insult ""islam"" or ""muslims"" , each muslim takes it personally , unlike the collective ""christians"" or other ""religions"" . the line between good and evil religion is thin , they say , and it's easy to make self-righteous assumptions . it is intellectual honesty . an honest and mature public conversation about the consequences of specific beliefs , religious or otherwise , is not "" islamophobic , "" nor is it bigotry against individuals as people . the real victim is islam .","do an image search for the image used , try to find it is source . either you can demonstrate that the image has been misappropriated or you can talk about how individuals have always used religion to justify their actions , the problem is with the individual not the religion ."
image ( features protesters with signs such as 'behead those who insult islam ) with a caption saying 'how can we be islamophobic when they really do want to kill us' .,"this monolithic , negative portrayal provides a skewed image of islam and muslims . their lives protesting the islamist state in the summer of 2009 must be islamophobic , too . in fact , two weeks earlier , the council on american-islamic relations ( cair ) had issued a report about violence aimed at muslim americans after the paris attacks . "" where is the widespread evidence that we have a problem in america with discrimination against muslims ? "" mohammed—depictions forbidden in islam to boot .","the image was photoshopped , original here . muslims have never wanted to kill us or anyone , this image in fact demonstrates that there is no evidence for it so people have to make it up ."
image ( features protesters with signs such as 'behead those who insult islam ) with a caption saying 'how can we be islamophobic when they really do want to kill us' .,""" their hatred , their barbarism , has nothing to do with islam . the cover , for example , features a crudely-drawn cartoon of the prophet saying "" probably , yes , but the word phobia means fear rather than hatred , "" he says . their lives protesting the islamist state in the summer of 2009 must be islamophobic , too . show caption +","even if true , how does hatred counter hatred ?"
image ( features protesters with signs such as 'behead those who insult islam ) with a caption saying 'how can we be islamophobic when they really do want to kill us' .,"""islam is not a religion of peace . islam claims to be a ""religion of peace"" - prove it ! last year the church posted a sign saying ""islam is of the devil . "" the hypocrisy of calling islam the religion of peace is not wasted upon us . islam will be a religion of peace when mecca and medina become smoking craters .",islam is a religion of peace and tolerance [insert quote from koran] .
"these 8 crooks are all muslims and every one of their victims is non-muslim , white-british . why do these criminals only target white british non-muslims ?","if specific evidence indicated that an american muslim - or a person of any faith , for that matter - were engaged in criminal activity , the police should vigilantly investigate that person . new evidence shows that the criminals had access to the personal information of some 610 , 000 taxpayers . last year , as in 2014 , most of the incidents focused on a victim's race or ethnicity . for example , it doesn't prevent the widely criticized new york police mapping program , which used undercover officers to monitor muslim student groups , muslim-owned businesses , and establishments frequented by american muslims . but for muslim victims , it's especially tough . ]",you seem to have a new superpower ? ascertaining ethnicity and faith based on a person's last name ?
"these 8 crooks are all muslims and every one of their victims is non-muslim , white-british . why do these criminals only target white british non-muslims ?","yet when muslims are the victims of such crimes , the same sense of outrage is not visible . "" we must make certain that criminals pay victims back for the financial losses caused by their actions , "" hogan said to an audience that included crime victims and their families . maryland gov . larry hogan on friday told about 200 advocates for crime victims' rights that a bipartisan criminal justice bill he intends to sign does not ignore victims' needs . they rated the movements of people identified as victims as subtly less coordinated than those of non-victims . black americans were the most common victims of hate crimes , making up over a quarter of the victims each year .","they don't , but i wonder why only the crimes with 'white british non-muslim' victims are the ones widely circulated ?"
"these 8 crooks are all muslims and every one of their victims is non-muslim , white-british . why do these criminals only target white british non-muslims ?","criminals infiltrate computer systems and steal sensitive personal details to use for crime . criminals use a victim's name or personal information , often found on the internet , to apply for credit cards , loans or take money from their accounts . mayor michael nutter said he opposes the city's pars program because the computerized record system automatically releases information about victims and witnesses of crimes along with those arrested on criminal offenses . but , it's money-minter for cyber criminals . federal government plans to introduce mandatory jail sentences for criminals convicted of serious fraud , part of tough legislation aimed at white-collar crime .",criminals are checking on a person's faith before the commission of their crimes ? seems a lot of bother to me .
